"","PC022_119_2","PC022_119_4","PC022_119_5","PC022_119_7","PC022_119_8","PC022_120_1","PC022_120_3","PC022_120_4","PC022_120_5","PC022_120_6","PC022_120_7","PC022_120_8","PC022_121_1","PC022_121_4","PC022_122_4","PC022_122_5","PC022_122_8","PC022_123_2","PC022_123_3","PC022_123_5","PC022_124_1","PC022_124_5","PC022_124_6","PC022_124_8","PC022_125_1","PC022_125_3","PC022_125_5","PC022_125_6","PC022_126_1","PC022_126_2","PC022_126_5","PC022_127_2","PC022_127_4","PC022_127_5","PC022_127_6","PC022_127_8","PC022_128_1","PC022_128_3","PC022_128_5","PC022_128_6","PC022_128_7","PC022_129_1","PC022_129_5","PC022_129_7","PC022_39_1","PC022_39_2","PC022_39_3","PC022_39_4","PC022_39_6","PC022_39_7","PC022_39_8","PC022_40_2","PC022_40_8","PC022_41_1","PC022_41_2","PC022_41_3","PC022_41_4","PC022_41_5","PC022_41_8","PC022_42_1","PC022_42_2","PC022_42_7","PC022_42_8","PC022_43_1","PC022_43_2","PC022_43_3","PC022_43_5","PC022_43_7","PC022_43_8","PC022_44_3","PC022_44_4","PC022_44_7","PC022_45_2","PC022_45_3","PC022_45_5","PC022_45_7","PC022_45_8","PC022_46_1","PC022_46_4","PC022_46_7","PC022_46_8","PC022_47_2","PC022_47_3","PC022_47_4","PC022_47_7","PC022_48_2","PC022_48_3","PC022_48_6","PC022_48_7","PC022_48_8","PC022_49_2","PC022_49_4","PC022_49_8","PC022_50_2","PC022_50_7","PC022_50_8","PC022_51_2","PC022_51_3","PC022_51_5","PC022_52_4","PC022_52_5","PC022_80_2","PC022_80_4","PC022_80_6","PC022_81_6","PC022_81_7","PC022_82_3","PC022_82_4","PC022_82_5","PC022_82_8","PC022_83_3","PC022_83_4","PC022_83_8","PC022_84_1","PC022_84_3","PC022_84_4","PC022_85_4","PC022_85_5","PC022_85_7","PC022_86_4","PC022_86_7","PC022_86_8","PC022_87_4","PC022_87_5","PC022_89_4","PC022_89_5","PC022_89_8","PC022_90_4","PC022_90_5","PC022_90_8"
"ASV_1",0,0,0,0,0,0,73205,142885,164874,0,108961,76332,0,0,0,0,0,45961,6946,0,0,0,0,0,105029,0,0,0,0,0,0,0,0,277257,207122,0,0,37681,0,0,0,0,99336,0,33109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115667,0,0,142987,167224,0,0,0,0,0,0,0,73553,0,55936,0,189834,0,0,0,0,0,0,0,0,0,0,45211,0,0,0,48305,0,0,0,0,75850,0,0,31872,0,0,0,34637,0,61021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101106,192183,0,0,293333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119949,0,0,0,0,0,0,159611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122606,222677,0,0,0,102813,0,0,179570,0,0,0,135102,0,333472,80090,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30863,0,0,0,0,53971,95444,0,0,0,0,0,0,0,284261,0,303382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
