Year,NorFish17_Iceland,Conf_Iceland,NorFish18_Dutch,Conf_Dutch,NorFish19_French,Conf_French,NorFish20_English,Conf_English,Sum
1520,11300,red,0,amber,112,red,20383,red,31795
1521,11300,red,0,amber,112,red,20383,red,31795
1522,11300,red,0,amber,112,red,20383,red,31795
1523,11300,red,0,amber,112,red,20383,red,31795
1524,11300,red,0,amber,112,red,20383,red,31795
1525,11300,red,0,amber,112,red,20383,red,31795
1526,11300,red,0,amber,112,red,20383,red,31795
1527,11300,red,0,amber,112,red,20383,red,31795
1528,11300,red,0,amber,112,red,20383,green,31795
1529,11300,red,0,amber,112,red,18632,red,30044
1530,11300,red,0,amber,112,red,16881,red,28293
1531,11300,red,0,amber,112,red,15130,red,26542
1532,11300,red,0,amber,112,red,13379,red,24791
1533,11300,red,0,amber,112,red,11628,green,23040
1534,11300,red,0,amber,112,red,11309,red,22721
1535,11300,red,0,amber,112,red,10990,red,22402
1536,11300,red,0,amber,112,red,10670,red,22082
1537,11300,red,0,amber,112,red,10351,red,21763
1538,11300,red,0,amber,112,red,10032,red,21444
1539,11300,red,0,amber,112,red,9713,red,21125
1540,11300,red,0,amber,112,red,9394,red,20806
1541,11300,red,0,amber,112,red,9074,red,20486
1542,11300,red,0,amber,112,red,8755,red,20167
1543,11300,red,0,amber,112,red,8436,red,19848
1544,11300,red,0,amber,112,red,8117,red,19529
1545,10450,red,0,amber,112,red,7798,red,18360
1546,9300,red,0,amber,112,red,7478,red,16890
1547,11150,red,0,amber,112,red,7159,red,18421
1548,10900,red,0,amber,112,red,6840,red,17852
1549,10950,red,0,amber,112,red,6521,red,17583
1550,11000,red,0,amber,112,red,6202,red,17314
1551,11350,red,0,amber,112,red,5882,green,17344
1552,10800,red,0,amber,112,red,6097,red,17009
1553,9950,red,0,amber,112,red,6312,red,16374
1554,12100,red,0,amber,112,red,6527,red,18739
1555,11550,red,0,amber,112,red,6742,red,18404
1556,12500,red,0,amber,112,red,6957,red,19569
1557,11350,red,0,amber,112,red,7172,red,18634
1558,11100,red,0,amber,112,red,7387,red,18599
1559,11450,red,0,amber,112,red,7602,red,19164
1560,11200,red,0,amber,112,red,7817,red,19129
1561,12150,red,0,amber,112,red,8032,red,20294
1562,11300,red,0,amber,112,red,8247,red,19659
1563,10150,red,0,amber,112,red,8462,red,18724
1564,10800,red,0,amber,112,red,8677,red,19589
1565,8150,red,0,amber,112,red,8892,green,17154
1566,8500,red,0,amber,112,red,8843,red,17455
1567,10950,red,0,amber,112,red,8794,red,19856
1568,10400,red,0,amber,112,red,8745,red,19257
1569,9550,red,0,amber,112,red,8697,red,18359
1570,10500,red,0,amber,112,red,8648,red,19260
1571,10250,red,0,amber,112,red,8599,red,18961
1572,9700,red,0,amber,112,red,8550,red,18362
1573,10950,red,0,amber,112,red,8501,red,19563
1574,12200,red,0,amber,112,red,8452,red,20764
1575,11350,red,0,amber,112,red,8403,red,19865
1576,9900,red,0,amber,112,red,8355,red,18367
1577,9950,red,0,amber,112,red,8306,red,18368
1578,9700,red,0,amber,112,red,8257,red,18069
1579,10050,red,0,amber,112,red,8208,red,18370
1580,11300,red,0,amber,112,red,8159,red,19571
1581,13150,red,0,amber,112,red,8110,red,21372
1582,12000,red,0,amber,112,red,8061,red,20173
1583,12650,red,0,amber,112,red,8013,red,20775
1584,13000,red,0,amber,112,red,7964,red,21076
1585,13650,red,0,amber,112,red,7915,red,21677
1586,14000,red,0,amber,112,red,7866,red,21978
1587,13450,red,0,amber,112,red,7817,red,21379
1588,13500,red,0,amber,112,red,7768,red,21380
1589,14150,red,0,amber,112,red,7719,red,21981
1590,13300,red,0,amber,112,red,7671,red,21083
1591,14850,red,0,amber,112,red,7622,red,22584
1592,14000,red,0,amber,112,red,7573,red,21685
1593,13750,red,0,amber,112,red,7524,green,21386
1594,13200,red,0,amber,112,red,7980,red,21292
1595,12950,red,0,amber,112,red,8436,red,21498
1596,13900,red,0,amber,112,red,8892,red,22904
1597,13650,red,0,amber,112,red,9348,red,23110
1598,14000,red,0,amber,112,red,9804,red,23916
1599,13750,red,0,amber,112,red,10260,red,24122
1600,14400,red,0,amber,112,red,10716,red,25228
1601,15350,red,0,amber,112,red,11172,red,26634
1602,13300,red,0,amber,112,red,11628,red,25040
1603,13516,red,0,amber,112,red,12084,red,25712
1604,13732,red,0,amber,112,red,12540,red,26384
1605,13949,red,0,amber,112,red,12996,red,27057
1606,14165,red,0,amber,112,red,13452,red,27729
1607,14381,red,0,amber,112,red,13908,red,28401
1608,14597,red,0,amber,112,red,14364,red,29073
1609,14814,red,0,amber,112,red,14820,red,29746
1610,15030,red,0,amber,112,red,15276,red,30418
1611,15246,red,0,amber,112,red,15732,red,31090
1612,15462,red,0,amber,112,red,16188,red,31762
1613,15679,red,0,amber,112,red,16644,red,32435
1614,15895,red,0,amber,112,green,17100,green,33107
1615,16111,red,0,amber,112,red,17442,red,33665
1616,16327,red,0,amber,112,green,17784,red,34223
1617,16543,red,0,amber,112,green,18126,red,34781
1618,16760,red,0,amber,112,red,18468,red,35340
1619,16976,red,0,amber,112,red,18810,red,35898
1620,17192,red,0,amber,112,red,19152,red,36456
1621,17408,red,0,amber,112,red,19494,red,37014
1622,17625,red,0,amber,112,red,19836,red,37573
1623,17841,red,0,amber,112,red,20178,red,38131
1624,18057,amber,0,amber,112,red,20520,red,38689
1625,24549,green,0,amber,112,red,20862,red,45523
1626,22471,red,0,amber,112,red,21204,red,43787
1627,20394,red,0,amber,112,red,21546,red,42052
1628,18316,red,0,amber,112,red,21888,green,40316
1629,16238,red,0,amber,112,red,20893,red,37243
1630,14160,green,0,amber,112,red,19898,red,34170
1631,14568,red,0,amber,112,red,18903,red,33583
1632,14976,red,0,amber,112,red,17908,red,32996
1633,15385,red,0,amber,112,red,16913,red,32410
1634,15793,red,0,amber,112,red,15919,red,31824
1635,16201,red,0,amber,112,red,14924,red,31237
1636,16609,red,0,amber,112,red,13929,red,30650
1637,17017,red,0,amber,112,red,12934,red,30063
1638,17425,red,0,amber,112,red,11939,red,29476
1639,17833,red,0,amber,112,red,10944,green,28889
1640,18242,red,0,amber,112,red,10388,red,28742
1641,18650,red,0,amber,112,red,9831,red,28593
1642,19058,red,0,amber,112,red,9275,red,28445
1643,19466,red,0,amber,112,red,8719,red,28297
1644,19874,red,0,amber,112,red,8162,red,28148
1645,20282,red,0,amber,112,red,7606,red,28000
1646,20690,red,0,amber,112,red,7050,red,27852
1647,21098,red,0,amber,112,red,6493,red,27703
1648,21507,red,0,amber,112,red,5937,red,27556
1649,21915,red,0,amber,112,red,5381,red,27408
1650,22323,red,0,amber,112,red,4824,red,27259
1651,22731,red,0,amber,112,red,4268,red,27111
1652,23139,red,0,amber,112,red,3712,red,26963
1653,23547,red,0,amber,112,red,3156,red,26815
1654,23955,red,0,amber,112,red,2599,green,26666
1655,24364,green,0,amber,112,red,3557,red,28033
1656,24330,red,0,amber,112,red,4514,green,28956
1657,24297,red,0,amber,112,red,8208,green,32617
1658,24264,red,0,amber,112,red,9850,green,34226
1659,24231,red,0,amber,112,red,10534,green,34877
1660,24198,red,0,amber,112,red,9956,red,34266
1661,24164,red,1,green,112,red,9378,red,33655
1662,24131,red,20,red,112,red,8801,red,33064
1663,24098,red,39,red,112,red,8223,red,32472
