"","x"
"PC019_100",2
"PC019_101",7
"PC019_102",1
"PC019_103",4
"PC019_104",5
"PC019_105",5
"PC019_106",6
"PC019_107",5
"PC019_108",4
"PC019_109",4
"PC019_110",4
"PC019_111",4
"PC019_112",1
"PC019_113",2
"PC019_114",3
"PC019_115",1
"PC019_116",2
"PC019_117",2
"PC019_118",0
"PC019_119",3
"PC019_121",6
"PC019_123",4
"PC019_125",5
"PC019_127",4
"PC019_129",2
"PC019_131",1
"PC019_133",1
"PC019_135",2
"PC019_137",4
"PC019_139",3
"PC019_141",5
"PC019_143",1
"PC019_145",3
"PC019_147",4
"PC019_149",3
"PC019_151",0
"PC019_153",4
"PC019_155",6
"PC019_157",4
"PC019_159",4
"PC019_161",6
"PC019_163",5
"PC019_165",5
"PC019_167",4
"PC019_169",2
"PC019_171",2
"PC019_173",5
"PC019_175",1
"PC019_177",4
"PC019_179",4
"PC019_181",2
"PC019_183",3
"PC019_185",4
"PC019_187",1
"PC019_189",4
"PC019_191",4
"PC019_193",5
"PC019_195",4
"PC019_197",2
"PC019_199",3
"PC019_201",2
"PC019_203",1
"PC019_205",2
"PC019_207",3
"PC019_209",2
"PC019_211",0
"PC019_213",5
"PC019_215",3
"PC019_217",2
"PC019_219",4
"PC019_221",2
"PC019_223",3
"PC019_225",4
"PC019_227",5
"PC019_229",8
"PC019_23",1
"PC019_231",1
"PC019_233",1
"PC019_235",4
"PC019_237",2
"PC019_239",5
"PC019_241",2
"PC019_243",2
"PC019_245",5
"PC019_247",3
"PC019_249",4
"PC019_25",1
"PC019_251",5
"PC019_253",7
"PC019_255",7
"PC019_257",3
"PC019_259",6
"PC019_261",5
"PC019_263",5
"PC019_265",3
"PC019_267",3
"PC019_269",4
"PC019_27",4
"PC019_271",6
"PC019_273",6
"PC019_275",4
"PC019_29",4
"PC019_31",5
"PC019_33",5
"PC019_35",2
"PC019_37",4
"PC019_39",3
"PC019_41",2
"PC019_43",4
"PC019_440",3
"PC019_441",2
"PC019_442",4
"PC019_443",2
"PC019_444",3
"PC019_445",3
"PC019_446",1
"PC019_447",0
"PC019_448",0
"PC019_449",0
"PC019_45",5
"PC019_450",3
"PC019_451",2
"PC019_452",3
"PC019_453",4
"PC019_454",5
"PC019_455",5
"PC019_456",5
"PC019_457",2
"PC019_458",3
"PC019_459",5
"PC019_460",4
"PC019_47",4
"PC019_49",7
"PC019_51",6
"PC019_53",1
"PC019_55",4
"PC019_57",3
"PC019_59",2
"PC019_61",2
"PC019_63",5
"PC019_65",4
"PC019_67",2
"PC019_69",1
"PC019_71",1
"PC019_73",1
"PC019_75",0
"PC019_77",0
"PC019_79",2
"PC019_81",2
"PC019_83",3
"PC019_85",3
"PC019_87",1
"PC019_89",3
"PC019_91",2
"PC019_93",3
"PC019_95",1
"PC019_97",4
"PC019_99",2
"GC1_000",3
"GC1_004",4
"GC1_008",5
"GC1_012",5
"GC1_016",2
"GC1_020",2
"GC1_024",4
"GC1_028",3
"GC1_032",3
"GC1_036",4
"GC1_040",2
"GC1_044",4
"GC1_048",0
"GC1_052",2
"GC1_056",3
"GC1_060",4
"GC1_064",3
"GC1_068",1
"GC1_072",4
"GC1_076",3
"GC1_080",4
"GC1_084",0
"GC1_088",5
"GC1_092",1
"GC1_096",3
"GC1_100",5
"GC1_104",1
"GC1_108",3
"GC1_112",3
"GC1_116",4
"GC1_120",2
"GC1_124",2
"GC1_128",1
"GC1_132",3
"GC1_136",2
"GC1_140",2
"GC1_144",3
"GC1_148",1
"GC1_152",3
"GC1_156",1
"GC1_160",6
"GC1_164",0
"GC1_168",6
"GC1_172",2
"GC1_176",3
"GC1_180",2
