"","x"
"PC019_100",2
"PC019_101",3
"PC019_102",4
"PC019_103",4
"PC019_104",3
"PC019_105",1
"PC019_106",6
"PC019_107",5
"PC019_108",4
"PC019_109",5
"PC019_110",1
"PC019_111",2
"PC019_112",0
"PC019_113",3
"PC019_114",0
"PC019_115",3
"PC019_116",1
"PC019_117",1
"PC019_118",0
"PC019_119",3
"PC019_121",3
"PC019_123",2
"PC019_125",3
"PC019_127",2
"PC019_129",1
"PC019_131",0
"PC019_133",0
"PC019_135",1
"PC019_137",2
"PC019_139",1
"PC019_141",6
"PC019_143",3
"PC019_145",2
"PC019_147",3
"PC019_149",3
"PC019_151",0
"PC019_153",1
"PC019_155",1
"PC019_157",1
"PC019_159",2
"PC019_161",1
"PC019_163",1
"PC019_165",4
"PC019_167",4
"PC019_169",5
"PC019_171",5
"PC019_173",5
"PC019_175",2
"PC019_177",2
"PC019_179",2
"PC019_181",4
"PC019_183",3
"PC019_185",3
"PC019_187",1
"PC019_189",3
"PC019_191",4
"PC019_193",5
"PC019_195",2
"PC019_197",3
"PC019_199",2
"PC019_201",2
"PC019_203",1
"PC019_205",2
"PC019_207",2
"PC019_209",1
"PC019_211",2
"PC019_213",3
"PC019_215",2
"PC019_217",2
"PC019_219",4
"PC019_221",3
"PC019_223",2
"PC019_225",4
"PC019_227",4
"PC019_229",3
"PC019_23",1
"PC019_231",1
"PC019_233",6
"PC019_235",3
"PC019_237",3
"PC019_239",2
"PC019_241",5
"PC019_243",3
"PC019_245",4
"PC019_247",5
"PC019_249",4
"PC019_25",1
"PC019_251",6
"PC019_253",5
"PC019_255",4
"PC019_257",5
"PC019_259",6
"PC019_261",3
"PC019_263",2
"PC019_265",5
"PC019_267",4
"PC019_269",5
"PC019_27",0
"PC019_271",5
"PC019_273",3
"PC019_275",5
"PC019_29",1
"PC019_31",1
"PC019_33",3
"PC019_35",4
"PC019_37",3
"PC019_39",2
"PC019_41",0
"PC019_43",1
"PC019_440",7
"PC019_441",5
"PC019_442",7
"PC019_443",6
"PC019_444",5
"PC019_445",6
"PC019_446",7
"PC019_447",6
"PC019_448",6
"PC019_449",7
"PC019_45",5
"PC019_450",7
"PC019_451",5
"PC019_452",7
"PC019_453",5
"PC019_454",7
"PC019_455",6
"PC019_456",6
"PC019_457",7
"PC019_458",6
"PC019_459",6
"PC019_460",5
"PC019_47",2
"PC019_49",1
"PC019_51",2
"PC019_53",1
"PC019_55",1
"PC019_57",0
"PC019_59",5
"PC019_61",2
"PC019_63",4
"PC019_65",2
"PC019_67",1
"PC019_69",0
"PC019_71",1
"PC019_73",1
"PC019_75",1
"PC019_77",0
"PC019_79",0
"PC019_81",3
"PC019_83",2
"PC019_85",2
"PC019_87",2
"PC019_89",1
"PC019_91",3
"PC019_93",4
"PC019_95",3
"PC019_97",5
"PC019_99",4
"GC1_000",4
"GC1_004",5
"GC1_008",3
"GC1_012",2
"GC1_016",1
"GC1_020",3
"GC1_024",2
"GC1_028",2
"GC1_032",3
"GC1_036",1
"GC1_040",6
"GC1_044",4
"GC1_048",8
"GC1_052",6
"GC1_056",5
"GC1_060",2
"GC1_064",2
"GC1_068",6
"GC1_072",6
"GC1_076",5
"GC1_080",4
"GC1_084",3
"GC1_088",4
"GC1_092",5
"GC1_096",7
"GC1_100",8
"GC1_104",7
"GC1_108",6
"GC1_112",6
"GC1_116",7
"GC1_120",6
"GC1_124",8
"GC1_128",6
"GC1_132",6
"GC1_136",8
"GC1_140",4
"GC1_144",8
"GC1_148",7
"GC1_152",6
"GC1_156",7
"GC1_160",8
"GC1_164",6
"GC1_168",7
"GC1_172",7
"GC1_176",7
"GC1_180",6
