4,scientific_name,sample_alias,sample_title,sample_description,project name,collection date,geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),broad-scale environmental context,local environmental context,environmental medium,elevation,depth,sample_accession,run_accession,experiment_accession
256318,metagenome,IS-B05-B1,IS-B05-B1,Extraction control ,IS-B05-B1,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939016,ERR13511958;ERR13511960;ERR13514710;ERR13511959;ERR13511961;ERR13511962;ERR13511963;ERR13511957;ERR13514708;ERR13514713;ERR13514711;ERR13514712;ERR13514714;ERR13514715,ERX12881861;ERX12881863;ERX12884613;ERX12881862;ERX12881864;ERX12881865;ERX12881866;ERX12881860;ERX12884611;ERX12884616;ERX12884614;ERX12884615;ERX12884617;ERX12884618
256318,metagenome,IS-B05-B2,IS-B05-B2,Extraction control ,IS-B05-B2,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939017,ERR13511966;ERR13511969;ERR13514716;ERR13514718;ERR13511964;ERR13511967;ERR13511968;ERR13511965;ERR13511970;ERR13511971;ERR13514717;ERR13514721;ERR13514719;ERR13514720;ERR13514722;ERR13514723,ERX12881869;ERX12881872;ERX12884619;ERX12884621;ERX12881867;ERX12881870;ERX12881871;ERX12881868;ERX12881873;ERX12881874;ERX12884620;ERX12884624;ERX12884622;ERX12884623;ERX12884625;ERX12884626
256318,metagenome,IS-B05-B3,IS-B05-B3,Extraction control ,IS-B05-B3,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939018,ERR13511972;ERR13511973;ERR13511975;ERR13511977;ERR13511978;ERR13511979;ERR13514726;ERR13514728;ERR13514729;ERR13511974;ERR13511976;ERR13514731;ERR13514724;ERR13514725;ERR13514727;ERR13514730,ERX12881875;ERX12881876;ERX12881878;ERX12881880;ERX12881881;ERX12881882;ERX12884629;ERX12884631;ERX12884632;ERX12881877;ERX12881879;ERX12884634;ERX12884627;ERX12884628;ERX12884630;ERX12884633
256318,metagenome,IS-B05-B4,IS-B05-B4,Extraction control ,IS-B05-B4,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939019,ERR13511980;ERR13511981;ERR13511984;ERR13514736;ERR13514738;ERR13514739;ERR13511982;ERR13511985;ERR13511987;ERR13511983;ERR13511986;ERR13514734;ERR13514735;ERR13514737;ERR13514732;ERR13514733,ERX12881883;ERX12881884;ERX12881887;ERX12884639;ERX12884641;ERX12884642;ERX12881885;ERX12881888;ERX12881890;ERX12881886;ERX12881889;ERX12884637;ERX12884638;ERX12884640;ERX12884635;ERX12884636
256318,metagenome,IS-B05-B5,IS-B05-B5,Extraction control ,IS-B05-B5,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939020,ERR13511991;ERR13511994;ERR13511995;ERR13514742;ERR13514743;ERR13514744;ERR13514746;ERR13514747;ERR13511989;ERR13511990;ERR13511993;ERR13511988;ERR13511992;ERR13514740;ERR13514741,ERX12881894;ERX12881897;ERX12881898;ERX12884645;ERX12884646;ERX12884647;ERX12884649;ERX12884650;ERX12881892;ERX12881893;ERX12881896;ERX12881891;ERX12881895;ERX12884643;ERX12884644
256318,metagenome,IS-B05-B6,IS-B05-B6,Extraction control ,IS-B05-B6,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939021,ERR13512002;ERR13514748;ERR13514751;ERR13514752;ERR13514753;ERR13511997;ERR13512000;ERR13512001;ERR13511998;ERR13511999;ERR13512003;ERR13514749;ERR13514755;ERR13514750;ERR13514754,ERX12881905;ERX12884651;ERX12884654;ERX12884655;ERX12884656;ERX12881900;ERX12881903;ERX12881904;ERX12881901;ERX12881902;ERX12881906;ERX12884652;ERX12884658;ERX12884653;ERX12884657
256318,metagenome,IS-B05-B7,IS-B05-B7,Extraction control ,IS-B05-B7,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939022,ERR13512004;ERR13512008;ERR13512011;ERR13514756;ERR13514760;ERR13514762;ERR13512005;ERR13512006;ERR13512007;ERR13512009;ERR13512010;ERR13514761;ERR13514757;ERR13514758;ERR13514759;ERR13514763,ERX12881907;ERX12881911;ERX12881914;ERX12884659;ERX12884663;ERX12884665;ERX12881908;ERX12881909;ERX12881910;ERX12881912;ERX12881913;ERX12884664;ERX12884660;ERX12884661;ERX12884662;ERX12884666
256318,metagenome,IS-B05-B8,IS-B05-B8,Extraction control ,IS-B05-B8,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939023,ERR13512014;ERR13512015;ERR13512018;ERR13512019;ERR13514768;ERR13514769;ERR13514770;ERR13512012;ERR13512017;ERR13512013;ERR13512016;ERR13514764;ERR13514765;ERR13514767;ERR13514771;ERR13514766,ERX12881917;ERX12881918;ERX12881921;ERX12881922;ERX12884671;ERX12884672;ERX12884673;ERX12881915;ERX12881920;ERX12881916;ERX12881919;ERX12884667;ERX12884668;ERX12884670;ERX12884674;ERX12884669
256318,metagenome,IS-B05-Neg,IS-B05-Neg,Extraction control ,IS-B05-Neg,2023,Atlantic Ocean,55.687492,12.57718,water,coastal sea water,sea water,0,0,SAMEA115939024,ERR13512784;ERR13512788;ERR13512792;ERR13512794;ERR13512795;ERR13512798;ERR13512800;ERR13512803;ERR13512807;ERR13512810;ERR13512812;ERR13512816;ERR13512818;ERR13512822;ERR13512824;ERR13512827;ERR13512836;ERR13512839;ERR13512840;ERR13512843;ERR13515534;ERR13515535;ERR13515536;ERR13515538;ERR13515540;ERR13515542;ERR13515545;ERR13515546;ERR13515547;ERR13515548;ERR13515550;ERR13515558;ERR13515560;ERR13515561;ERR13515562;ERR13515565;ERR13515567;ERR13515570;ERR13515573;ERR13515574;ERR13515576;ERR13515581;ERR13515583;ERR13515589;ERR13515593;ERR13512782;ERR13512785;ERR13512786;ERR13512787;ERR13512789;ERR13512796;ERR13512797;ERR13512799;ERR13512801;ERR13512802;ERR13512811;ERR13512814;ERR13512815;ERR13512821;ERR13512826;ERR13512829;ERR13512831;ERR13512832;ERR13512833;ERR13512835;ERR13512837;ERR13512780;ERR13512781;ERR13512783;ERR13512793;ERR13512804;ERR13512806;ERR13512808;ERR13512809;ERR13512813;ERR13512817;ERR13512819;ERR13512820;ERR13512823;ERR13512825;ERR13512830;ERR13512834;ERR13512838;ERR13515532;ERR13515533;ERR13515537;ERR13515541;ERR13515544;ERR13515549;ERR13515553;ERR13515555;ERR13515569;ERR13515571;ERR13515578;ERR13515579;ERR13515582;ERR13515586;ERR13515588;ERR13515591;ERR13515539;ERR13515551;ERR13515552;ERR13515554;ERR13515557;ERR13515563;ERR13515564;ERR13515566;ERR13515568;ERR13515572;ERR13515575;ERR13515584;ERR13515587;ERR13515590;ERR13515592;ERR13515594;ERR13515595,ERX12882687;ERX12882691;ERX12882695;ERX12882697;ERX12882698;ERX12882701;ERX12882703;ERX12882706;ERX12882710;ERX12882713;ERX12882715;ERX12882719;ERX12882721;ERX12882725;ERX12882727;ERX12882730;ERX12882739;ERX12882742;ERX12882743;ERX12882746;ERX12885437;ERX12885438;ERX12885439;ERX12885441;ERX12885443;ERX12885445;ERX12885448;ERX12885449;ERX12885450;ERX12885451;ERX12885453;ERX12885461;ERX12885463;ERX12885464;ERX12885465;ERX12885468;ERX12885470;ERX12885473;ERX12885476;ERX12885477;ERX12885479;ERX12885484;ERX12885486;ERX12885492;ERX12885496;ERX12882685;ERX12882688;ERX12882689;ERX12882690;ERX12882692;ERX12882699;ERX12882700;ERX12882702;ERX12882704;ERX12882705;ERX12882714;ERX12882717;ERX12882718;ERX12882724;ERX12882729;ERX12882732;ERX12882734;ERX12882735;ERX12882736;ERX12882738;ERX12882740;ERX12882683;ERX12882684;ERX12882686;ERX12882696;ERX12882707;ERX12882709;ERX12882711;ERX12882712;ERX12882716;ERX12882720;ERX12882722;ERX12882723;ERX12882726;ERX12882728;ERX12882733;ERX12882737;ERX12882741;ERX12885435;ERX12885436;ERX12885440;ERX12885444;ERX12885447;ERX12885452;ERX12885456;ERX12885458;ERX12885472;ERX12885474;ERX12885481;ERX12885482;ERX12885485;ERX12885489;ERX12885491;ERX12885494;ERX12885442;ERX12885454;ERX12885455;ERX12885457;ERX12885460;ERX12885466;ERX12885467;ERX12885469;ERX12885471;ERX12885475;ERX12885478;ERX12885487;ERX12885490;ERX12885493;ERX12885495;ERX12885497;ERX12885498
256318,metagenome,IS-B05-POS1,IS-B05-POS1,Positive control ,IS-B05-POS1,2023,Atlantic Ocean,55.63816326,12.6555575,water,coastal sea water,sea water,0,0,SAMEA115939025,ERR13512845;ERR13512854;ERR13512858;ERR13512861;ERR13512863;ERR13512866;ERR13515596;ERR13515599;ERR13515602;ERR13515604;ERR13515606;ERR13515609;ERR13515610;ERR13515615;ERR13515616;ERR13512847;ERR13512848;ERR13512849;ERR13512850;ERR13512852;ERR13512853;ERR13512855;ERR13512862;ERR13512864;ERR13512844;ERR13512846;ERR13512851;ERR13512856;ERR13512857;ERR13512859;ERR13512860;ERR13512865;ERR13512867;ERR13515597;ERR13515603;ERR13515605;ERR13515607;ERR13515614;ERR13515617;ERR13515598;ERR13515600;ERR13515601;ERR13515608;ERR13515611;ERR13515612;ERR13515613;ERR13515618;ERR13515619,ERX12882748;ERX12882757;ERX12882761;ERX12882764;ERX12882766;ERX12882769;ERX12885499;ERX12885502;ERX12885505;ERX12885507;ERX12885509;ERX12885512;ERX12885513;ERX12885518;ERX12885519;ERX12882750;ERX12882751;ERX12882752;ERX12882753;ERX12882755;ERX12882756;ERX12882758;ERX12882765;ERX12882767;ERX12882747;ERX12882749;ERX12882754;ERX12882759;ERX12882760;ERX12882762;ERX12882763;ERX12882768;ERX12882770;ERX12885500;ERX12885506;ERX12885508;ERX12885510;ERX12885517;ERX12885520;ERX12885501;ERX12885503;ERX12885504;ERX12885511;ERX12885514;ERX12885515;ERX12885516;ERX12885521;ERX12885522
