"","X","ID","Core","Depth","min","max","median","mean"
"1",1,"GC1-000","GC1",0,"-73","938","266","282"
"2",2,"GC1-004","GC1",4,"-69","976","345","355"
"3",3,"GC1-008","GC1",8,"-61","1016","421","429"
"4",4,"GC1-012","GC1",12,"-48","1077","502","504"
"5",5,"GC1-016","GC1",16,"-34","1137","577","579"
"6",6,"GC1-020","GC1",20,"-23","1194","655","655"
"7",7,"GC1-024","GC1",24,"158","1374","740","734"
"8",8,"GC1-028","GC1",28,"240","1463","819","813"
"9",9,"GC1-032","GC1",32,"322","1498","897","890"
"10",10,"GC1-036","GC1",36,"381","1531","972","965"
"11",11,"GC1-040","GC1",40,"492","1542","1048","1037"
"12",12,"GC1-044","GC1",44,"631","1555","1119","1112"
"13",13,"GC1-048","GC1",48,"743","1602","1190","1184"
"14",14,"GC1-052","GC1",52,"830","1660","1255","1250"
"15",15,"GC1-056","GC1",56,"864","1713","1315","1312"
"16",16,"GC1-060","GC1",60,"888","1973","1374","1374"
"17",17,"GC1-064","GC1",64,"959","2010","1434","1435"
"18",18,"GC1-068","GC1",68,"1024","2040","1494","1496"
"19",19,"GC1-072","GC1",72,"1099","2062","1553","1555"
"20",20,"GC1-076","GC1",76,"1222","2160","1611","1615"
"21",21,"GC1-080","GC1",80,"1312","2190","1669","1677"
"22",22,"GC1-084","GC1",84,"1322","2260","1738","1747"
"23",23,"GC1-088","GC1",88,"1325","2346","1812","1820"
"24",24,"GC1-092","GC1",92,"1342","2455","1885","1893"
"25",25,"GC1-096","GC1",96,"1372","2563","1958","1966"
"26",26,"GC1-100","GC1",100,"1400","2720","2031","2039"
"27",27,"GC1-104","GC1",104,"1433","2786","2105","2111"
"28",28,"GC1-108","GC1",108,"1634","2819","2182","2185"
"29",29,"GC1-112","GC1",112,"1695","2884","2255","2259"
"30",30,"GC1-116","GC1",116,"1761","2956","2328","2332"
"31",31,"GC1-120","GC1",120,"1836","3191","2399","2405"
"32",32,"GC1-124","GC1",124,"1874","3240","2470","2477"
"33",33,"GC1-128","GC1",128,"1925","3352","2546","2549"
"34",34,"GC1-132","GC1",132,"2016","3397","2619","2623"
"35",35,"GC1-136","GC1",136,"2026","3438","2691","2696"
"36",36,"GC1-140","GC1",140,"2031","3447","2769","2770"
"37",37,"GC1-144","GC1",144,"2045","3514","2839","2842"
"38",38,"GC1-148","GC1",148,"2073","3566","2913","2914"
"39",39,"GC1-152","GC1",152,"2289","3631","2986","2988"
"40",40,"GC1-156","GC1",156,"2479","3741","3060","3061"
"41",41,"GC1-160","GC1",160,"2547","3865","3134","3135"
"42",42,"GC1-164","GC1",164,"2636","3930","3210","3211"
"43",43,"GC1-168","GC1",168,"2652","3986","3282","3286"
"44",44,"GC1-172","GC1",172,"2677","4102","3355","3360"
"45",45,"GC1-176","GC1",176,"2759","4201","3424","3434"
"46",46,"GC1-180","GC1",180,"2907","4212","3502","3511"
"122",122,"PC019-23","PC019",23,"37","468","231","225"
"133",133,"PC019-25","PC019",25,"39","475","240","236"
"144",144,"PC019-27","PC019",27,"50","481","249","244"
"148",148,"PC019-29","PC019",29,"59","488","255","251"
"149",149,"PC019-31","PC019",31,"66","495","264","261"
"150",150,"PC019-33","PC019",33,"71","503","277","272"
"151",151,"PC019-35","PC019",35,"74","512","290","282"
"152",152,"PC019-37","PC019",37,"81","520","298","292"
"153",153,"PC019-39","PC019",39,"81","528","307","302"
"154",154,"PC019-41","PC019",41,"93","534","317","312"
"155",155,"PC019-43","PC019",43,"115","540","326","322"
"166",166,"PC019-45","PC019",45,"128","547","334","332"
"178",178,"PC019-47","PC019",47,"137","561","343","341"
"179",179,"PC019-49","PC019",49,"147","575","352","351"
"180",180,"PC019-51","PC019",51,"155","585","363","361"
"181",181,"PC019-53","PC019",53,"165","590","376","372"
"182",182,"PC019-55","PC019",55,"175","595","388","384"
"183",183,"PC019-57","PC019",57,"181","598","398","396"
"184",184,"PC019-59","PC019",59,"183","605","409","407"
"185",185,"PC019-61","PC019",61,"189","619","421","419"
"186",186,"PC019-63","PC019",63,"199","625","432","430"
"187",187,"PC019-65","PC019",65,"208","632","444","442"
"188",188,"PC019-67","PC019",67,"231","637","456","454"
"189",189,"PC019-69","PC019",69,"231","642","468","465"
"190",190,"PC019-71","PC019",71,"234","645","478","476"
"191",191,"PC019-73","PC019",73,"240","647","488","486"
"192",192,"PC019-75","PC019",75,"245","652","500","497"
"193",193,"PC019-77","PC019",77,"264","655","512","511"
"194",194,"PC019-79","PC019",79,"283","661","526","524"
"195",195,"PC019-81","PC019",81,"317","666","539","538"
"196",196,"PC019-83","PC019",83,"368","671","554","551"
"197",197,"PC019-85","PC019",85,"406","677","569","563"
"198",198,"PC019-87","PC019",87,"426","677","580","575"
"199",199,"PC019-89","PC019",89,"427","679","592","586"
"200",200,"PC019-91","PC019",91,"433","682","603","597"
"201",201,"PC019-93","PC019",93,"442","684","616","609"
"202",202,"PC019-95","PC019",95,"443","697","627","621"
"203",203,"PC019-97","PC019",97,"489","698","637","632"
"204",204,"PC019-99","PC019",99,"533","701","649","644"
"47",47,"PC019-100","PC019",100,"542","703","655","649"
"48",48,"PC019-101","PC019",101,"564","704","660","655"
"49",49,"PC019-102","PC019",102,"577","704","665","662"
"50",50,"PC019-103","PC019",103,"588","705","670","668"
"51",51,"PC019-104","PC019",104,"600","705","676","674"
"52",52,"PC019-105","PC019",105,"612","708","683","680"
"53",53,"PC019-106","PC019",106,"633","709","687","685"
"54",54,"PC019-107","PC019",107,"654","712","691","690"
"55",55,"PC019-108","PC019",108,"668","715","695","695"
"56",56,"PC019-109","PC019",109,"673","727","700","700"
"57",57,"PC019-110","PC019",110,"676","741","704","705"
"58",58,"PC019-111","PC019",111,"685","746","710","711"
"59",59,"PC019-112","PC019",112,"690","768","715","717"
"60",60,"PC019-113","PC019",113,"693","794","720","723"
"61",61,"PC019-114","PC019",114,"694","820","724","729"
"62",62,"PC019-115","PC019",115,"695","846","729","736"
"63",63,"PC019-116","PC019",116,"702","851","736","742"
"64",64,"PC019-117","PC019",117,"703","864","743","748"
"65",65,"PC019-118","PC019",118,"703","876","749","754"
"66",66,"PC019-119","PC019",119,"703","894","756","760"
"67",67,"PC019-121","PC019",121,"705","921","768","773"
"68",68,"PC019-123","PC019",123,"706","938","781","785"
"69",69,"PC019-125","PC019",125,"706","973","793","797"
"70",70,"PC019-127","PC019",127,"713","977","805","809"
"71",71,"PC019-129","PC019",129,"718","985","816","821"
"72",72,"PC019-131","PC019",131,"726","1028","828","833"
"73",73,"PC019-133","PC019",133,"726","1039","840","845"
"74",74,"PC019-135","PC019",135,"727","1072","851","856"
"75",75,"PC019-137","PC019",137,"735","1083","863","868"
"76",76,"PC019-139","PC019",139,"736","1102","875","880"
"77",77,"PC019-141","PC019",141,"738","1122","887","892"
"78",78,"PC019-143","PC019",143,"741","1123","898","903"
"79",79,"PC019-145","PC019",145,"744","1152","910","915"
"80",80,"PC019-147","PC019",147,"762","1160","921","926"
"81",81,"PC019-149","PC019",149,"766","1169","933","938"
"82",82,"PC019-151","PC019",151,"775","1206","946","950"
"83",83,"PC019-153","PC019",153,"784","1223","958","962"
"84",84,"PC019-155","PC019",155,"788","1257","971","975"
"85",85,"PC019-157","PC019",157,"796","1269","984","987"
"86",86,"PC019-159","PC019",159,"803","1282","996","1000"
"87",87,"PC019-161","PC019",161,"809","1292","1009","1012"
"88",88,"PC019-163","PC019",163,"818","1300","1021","1024"
"89",89,"PC019-165","PC019",165,"827","1308","1033","1036"
"90",90,"PC019-167","PC019",167,"830","1312","1046","1048"
"91",91,"PC019-169","PC019",169,"833","1316","1059","1061"
"92",92,"PC019-171","PC019",171,"847","1322","1071","1073"
"93",93,"PC019-173","PC019",173,"870","1333","1084","1085"
"94",94,"PC019-175","PC019",175,"885","1354","1096","1098"
"95",95,"PC019-177","PC019",177,"888","1362","1108","1110"
"96",96,"PC019-179","PC019",179,"890","1387","1121","1123"
"97",97,"PC019-181","PC019",181,"897","1414","1133","1136"
