"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.B1-1-1.1.S",1,1,0,0
"EUK.B1-2-1.2.S",0,0,1,1
"EUK.B1-3-1.3.S",2,2,3,3
"EUK.B1-4-1.4.S",54,54,49,49
"EUK.B1-5-1.5.S",77,75,52,51
"EUK.B1-6-1.6.S",14,13,15,15
"EUK.B1-7-1.7.S",5,4,1,1
"EUK.B1-8-1.8.S",19,19,30,30
"EUK.B2-1-1.1.S",211,204,226,225
"EUK.B2-2-1.2.S",1816,1795,1782,1751
"EUK.B2-3-1.3.S",178,175,212,209
"EUK.B2-4-1.4.S",116,113,122,117
"EUK.B2-5-1.5.S",4,4,5,5
"EUK.B2-6-1.6.S",39,39,35,34
"EUK.B2-7-1.7.S",120,120,142,134
"EUK.B2-8-1.8.S",90,86,90,90
"EUK.B3-1-2.1.S",49,48,56,56
"EUK.B3-2-2.2.S",42,41,40,39
"EUK.B3-3-2.3.S",44,43,56,54
"EUK.B3-4-2.4.S",37,36,28,27
"EUK.B3-5-2.5.S",80,79,72,71
"EUK.B3-6-2.6.S",27,27,26,26
"EUK.B3-7-2.7.S",34,34,51,48
"EUK.B3-8-2.8.S",40,39,36,35
"EUK.B4-1-2.1.S",14,14,8,6
"EUK.B4-2-2.2.S",322,312,329,325
"EUK.B4-3-2.3.S",145,143,121,119
"EUK.B4-4-2.4.S",16,16,18,17
"EUK.B4-5-2.5.S",27,26,20,20
"EUK.B4-6-2.6.S",17,17,7,7
"EUK.B4-7-2.7.S",52,52,47,46
"EUK.B4-8-2.8.S",409,405,383,380
"EUK.B5-1-2.1.S",201,197,232,230
"EUK.B5-2-2.2.S",36,32,36,36
"EUK.B5-3-2.3.S",2,2,10,9
"EUK.B5-4-2.4.S",36,32,25,24
"EUK.B5-5-2.5.S",24,21,30,29
"EUK.B5-6-2.6.S",0,0,12,11
"EUK.B5-7-2.7.S",26,25,21,21
"EUK.B5-8-2.8.S",28,28,27,27
"EUK.B6-1-3.1.S",1,1,0,0
"EUK.B6-2-3.2.S",7,7,7,7
"EUK.B6-3-3.3.S",16,16,17,17
"EUK.B6-4-3.4.S",2,2,3,3
"EUK.B6-5-3.5.S",24,24,29,28
"EUK.B6-6-3.6.S",96,93,97,95
"EUK.B6-7-3.7.S",21,21,22,21
"EUK.B6-8-3.8.S",16,16,19,19
"EUK.B7-1-3.1.S",22,22,14,13
"EUK.B7-2-3.2.S",17,17,33,31
"EUK.B7-3-3.3.S",193,182,282,275
"EUK.B7-4-3.4.S",47,46,47,47
"EUK.B7-5-3.5.S",13,12,12,12
"EUK.B7-6-3.6.S",108,107,78,78
"EUK.B7-7-3.7.S",100,99,123,118
"EUK.B7-8-3.8.S",20,20,26,25
"EUK.B8-1-3.1.S",6,6,11,9
"EUK.B8-2-3.2.S",9,9,6,6
"EUK.B8-3-3.3.S",2,2,7,7
"EUK.B8-4-3.4.S",1,1,1,1
"EUK.B8-5-3.5.S",163,160,173,171
"EUK.B8-6-3.6.S",31,30,31,31
"EUK.B8-7-3.7.S",13,13,9,9
"EUK.B8-8-3.8.S",24,23,31,29
"EUK.IS-GC1-000-1-1.1.S",73637,71121,85261,82894
"EUK.IS-GC1-000-2-1.2.S",217105,213799,257766,253218
"EUK.IS-GC1-000-3-1.3.S",210722,206130,225289,220141
"EUK.IS-GC1-000-4-1.4.S",93383,90612,93588,90845
"EUK.IS-GC1-000-5-1.5.S",84923,81956,96051,93192
"EUK.IS-GC1-000-6-1.6.S",42626,41373,41116,40075
"EUK.IS-GC1-000-7-1.7.S",153192,149441,155149,151805
"EUK.IS-GC1-000-8-1.8.S",33182,32289,36530,35673
"EUK.IS-GC1-004-1-3.1.S",112821,108967,116382,113225
"EUK.IS-GC1-004-2-3.2.S",19421,18624,19856,19060
"EUK.IS-GC1-004-3-3.3.S",71613,70026,92404,90227
"EUK.IS-GC1-004-4-3.4.S",67399,65496,71419,69692
"EUK.IS-GC1-004-5-3.5.S",169881,166350,172689,169319
"EUK.IS-GC1-004-6-3.6.S",102274,98816,106365,103309
"EUK.IS-GC1-004-7-3.7.S",16102,15454,19260,18577
"EUK.IS-GC1-004-8-3.8.S",81825,79883,79058,77194
"EUK.IS-GC1-008-1-1.1.S",138367,133924,141302,137217
"EUK.IS-GC1-008-2-1.2.S",107203,105504,125914,123967
"EUK.IS-GC1-008-3-1.3.S",90833,88689,97155,95117
"EUK.IS-GC1-008-4-1.4.S",115255,112964,128198,125455
"EUK.IS-GC1-008-5-1.5.S",107202,104424,118198,115813
"EUK.IS-GC1-008-6-1.6.S",21722,21223,21376,20852
"EUK.IS-GC1-008-7-1.7.S",107494,105680,113400,111563
"EUK.IS-GC1-008-8-1.8.S",100601,98827,109732,107869
"EUK.IS-GC1-012-1-3.1.S",97885,95540,106936,104767
"EUK.IS-GC1-012-2-3.2.S",56652,53880,52737,50426
"EUK.IS-GC1-012-3-3.3.S",40885,39606,53532,51985
"EUK.IS-GC1-012-4-3.4.S",40904,39975,45306,44370
"EUK.IS-GC1-012-5-3.5.S",99533,97539,102879,100909
"EUK.IS-GC1-012-6-3.6.S",53671,52272,51216,50026
"EUK.IS-GC1-012-7-3.7.S",30137,29200,32762,31872
"EUK.IS-GC1-012-8-3.8.S",48673,47428,48241,46904
"EUK.IS-GC1-016-1-1.1.S",116833,114380,125391,122611
"EUK.IS-GC1-016-2-1.2.S",148784,146389,162280,159426
