"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.Blank5_1_5-1.S",309,306,318,311
"EUK.Blank5_2_5-2.S",43,42,44,43
"EUK.Blank5_3_5-3.S",188,186,191,191
"EUK.Blank5_4_5-4.S",239,229,238,232
"EUK.Blank5_5_5-5.S",0,0,2,2
"EUK.Blank5_6_5-6.S",114,114,91,91
"EUK.Blank5_7_5-7.S",153,149,164,161
"EUK.Blank5_8_5-8.S",588,577,624,609
"EUK.Neg1_1_4-1.S",2,2,2,2
"EUK.Neg1_2_4-2.S",4,4,1,1
"EUK.Neg1_3_4-3.S",3,3,4,3
"EUK.Neg1_4_4-4.S",0,0,0,0
"EUK.Neg1_5_4-5.S",55,54,65,63
"EUK.Neg1_6_4-6.S",61,58,87,82
"EUK.Neg1_7_4-7.S",3,3,3,3
"EUK.Neg1_8_4-8.S",0,0,1,1
"EUK.Neg2_1_4-1.S",0,0,1,1
"EUK.Neg2_2_4-2.S",2,2,1,1
"EUK.Neg2_3_4-3.S",3,3,2,2
"EUK.Neg2_4_4-4.S",2,1,1,1
"EUK.Neg2_5_4-5.S",3,1,4,4
"EUK.Neg2_6_4-6.S",3,2,3,2
"EUK.Neg2_7_4-7.S",0,0,1,1
"EUK.Neg2_8_4-8.S",3,2,2,1
"EUK.Neg3_1_4-1.S",2,2,2,2
"EUK.Neg3_2_4-2.S",0,0,1,1
"EUK.Neg3_3_4-3.S",5,4,4,4
"EUK.Neg3_4_4-4.S",17,17,18,17
"EUK.Neg3_5_4-5.S",0,0,0,0
"EUK.Neg3_6_4-6.S",2,2,1,0
"EUK.Neg3_7_4-7.S",1,1,2,2
"EUK.Neg3_8_4-8.S",4,3,4,4
"EUK.Neg4_1_5-1.S",0,0,2,2
"EUK.Neg4_2_5-2.S",15,15,13,13
"EUK.Neg4_3_5-3.S",0,0,0,0
"EUK.Neg4_4_5-4.S",0,0,0,0
"EUK.Neg4_5_5-5.S",18,16,25,25
"EUK.Neg4_6_5-6.S",8,8,13,13
"EUK.Neg4_7_5-7.S",1,0,3,3
"EUK.Neg4_8_5-8.S",17,17,23,22
