"","Sample","Core","Date_bp_mean","Date_CE_mean","year","d13C.GAM.fit","d13C.GAM.fit.se","d13C.GAM.fit.uppCI","d13C.GAM.fit.lwrCI","d13C.100yrspline","year","d18O.GAM.fit","d18O.GAM.fit.se","d18O.GAM.fit.uppCI","d18O.GAM.fit.lwrCI","d18O.100yrspline","year","SeaIceIndex.GAM.fit","SeaIceIndex.GAM.fit.se","SeaIceIndex.GAM.fit.uppCI","SeaIceIndex.GAM.fit.lwrCI","SeaIceIndex.100yrspline","yearCE","yearBP","MD99-2275sstAlkenone.GAM.fit","MD99-2275sstAlkenone.GAM.fit.se","MD99-2275sstAlkenone.GAM.fit.uppCI","MD99-2275sstAlkenone.GAM.fit.lwrCI","MD99-2275sstAlkenone.100yrspline","yearCE","yearBP","MD99-2275sstDiatom.GAM.fit","MD99-2275sstDiatom.GAM.fit.se","MD99-2275sstDiatom.GAM.fit.uppCI","MD99-2275sstDiatom.GAM.fit.lwrCI","MD99-2275sstDiatom.100yrspline"
"1","GC1-000","GC1",165,1785,1785,1.9761635696253,0.0448040567040353,2.06397952076521,1.88834761848539,2.06418339452943,1785,3.76448234205941,0.0410453894833199,3.84493130544672,3.68403337867211,3.69179729847921,1785,3.19094625441779,0.345598835813992,3.86831997261322,2.51357253622237,3.168638034617,1785,165,7.38313422892154,0.0934787325328165,7.56635254468586,7.19991591315722,7.26252667122126,1785,165,6.88347903242109,0.0516925728054247,6.98479647511972,6.78216158972246,6.93609041285434
"2","GC1-004","GC1",235,1715,1715,2.37180906274864,0.0445008161157277,2.45903066233546,2.28458746316181,2.30134035864494,1715,3.62976456781884,0.0408287711962829,3.70978895936356,3.54974017627413,3.58211904902068,1715,1.31339335414551,0.345618280671314,1.99080518426129,0.635981524029736,1.30655485751833,1715,235,7.46615964678455,0.104986046747005,7.67193229840868,7.26038699516042,7.43360043782988,1715,235,6.9147980551393,0.0459316891820456,7.00482416593611,6.82477194434249,6.94501607701826
"3","GC1-008","GC1",306,1644,1644,1.92251072054027,0.044530017776562,2.00978955538233,1.83523188569821,2.0142507082148,1644,3.65246766318045,0.0408488466393811,3.73253140259364,3.57240392376726,3.71448848187382,1644,0.829261899534178,0.35199353202972,1.51916922231243,0.139354576755927,0.838841807243286,1644,306,7.7504745029678,0.115868052681623,7.97757588622379,7.52337311971182,7.60423466374156,1644,306,6.94476466138883,0.0454024404464763,7.03375344466393,6.85577587811374,6.95420143771481
"4","GC1-012","GC1",375,1575,1575,2.08208725026362,0.0447167687103929,2.16973211693599,1.99444238359125,2.0627573823729,1575,3.64354184531969,0.0409824462759337,3.72386744002052,3.56321625061886,3.72460161247448,NA,NA,NA,NA,NA,NA,1575,375,7.85593115443915,0.118296176918184,8.08779166119879,7.62407064767951,7.76582846802633,1575,375,6.97677251490021,0.0466309120194064,7.06816910245825,6.88537592734217,6.98216203507842
"5","GC1-016","GC1",444,1506,1506,2.07374077220242,0.044703618237636,2.16135986394818,1.98612168045665,2.07940163796465,1506,3.45632630804547,0.0409731842085778,3.53663374909428,3.37601886699666,3.53674956809533,NA,NA,NA,NA,NA,NA,1506,444,7.96242704853797,0.113674904594431,8.18522986154306,7.73962423553289,7.9227337265509,1506,444,7.01595015392224,0.0480673031286606,7.11016206805442,6.92173823979007,7.02140416637729
"6","GC1-020","GC1",512,1438,1438,2.13257572111314,0.044563082629083,2.21991936306615,2.04523207916014,2.13152897636543,1438,3.61829218437748,0.0408726892219159,3.69840265525244,3.53818171350253,3.63055282329727,NA,NA,NA,NA,NA,NA,1438,512,7.89170879845189,0.106683018770396,8.10080751524187,7.68261008166192,8.07398156649764,1438,512,7.06553835911531,0.0494657994115119,7.16249132596188,6.96858539226875,7.07692099787814
"7","GC1-024","GC1",582,1368,1368,1.48985141306006,0.0444767961904295,1.5770259335933,1.40267689252682,1.67260208313467,1368,3.27807085359687,0.0408112176730071,3.35806084023597,3.19808086695778,3.43518072894586,NA,NA,NA,NA,NA,NA,1368,582,7.92698252958143,0.120247591304974,8.16266780853918,7.69129725062368,8.21554877569594,1368,582,7.12900552039066,0.051032571057942,7.22902935966422,7.02898168111709,7.14742577231686
"8","GC1-028","GC1",651,1299,1299,1.97354156279941,0.044652330978129,2.06106013151654,1.88602299408228,1.9585834855284,1299,3.37584651392657,0.0409368338557811,3.4560827082839,3.29561031956924,3.46177710292556,NA,NA,NA,NA,NA,NA,1299,651,8.45816325367746,0.133271029289238,8.71937447108437,8.19695203627055,8.34821751847136,1299,651,7.20080114063386,0.052714856481738,7.30412225933806,7.09748002192965,7.22652188018634
"9","GC1-032","GC1",719,1231,1231,2.68821641897724,0.0447853722154612,2.77599574851955,2.60043708943494,2.43086154987156,1231,3.54982725512014,0.0410316421156822,3.63024927366688,3.46940523657341,3.58164789099666,NA,NA,NA,NA,NA,NA,1231,719,8.81562426080298,0.142691624481102,9.09529984478594,8.53594867682002,8.44383475717528,1231,719,7.27406922815152,0.0544269369350677,7.38074602454425,7.16739243175878,7.3051873455341
"10","GC1-036","GC1",787,1163,1163,2.28033345392462,0.0447301924495603,2.36800463112576,2.19266227672348,2.20506278679087,1163,3.63212527823706,0.0409910642282119,3.71246776412435,3.55178279234976,3.62751731953639,NA,NA,NA,NA,NA,NA,1163,787,8.86457314972203,0.141026122717188,9.14098435024772,8.58816194919635,8.4999814393306,1163,787,7.34339093304731,0.0562000261544269,7.45354298430999,7.23323888178463,7.37087532918477
