value,year,record
1.231742,2000,Arcticad13C
1.165587,1999,Arcticad13C
1.643155,1998,Arcticad13C
1.691166,1997,Arcticad13C
1.758104,1996,Arcticad13C
1.829,1995,Arcticad13C
1.530631,1994,Arcticad13C
1.3455,1993,Arcticad13C
1.346544,1992,Arcticad13C
1.233863,1991,Arcticad13C
1.220852,1990,Arcticad13C
1.316,1989,Arcticad13C
1.109022,1988,Arcticad13C
1.453268,1987,Arcticad13C
1.22524,1986,Arcticad13C
1.488,1985,Arcticad13C
1.486674,1984,Arcticad13C
1.97865,1983,Arcticad13C
1.717787,1982,Arcticad13C
1.73,1981,Arcticad13C
1.65511,1980,Arcticad13C
1.662,1979,Arcticad13C
1.905,1978,Arcticad13C
1.64768,1977,Arcticad13C
1.70382,1976,Arcticad13C
1.5475,1975,Arcticad13C
1.6,1974,Arcticad13C
1.895667,1973,Arcticad13C
2.041,1972,Arcticad13C
2.0095,1971,Arcticad13C
1.8825,1970,Arcticad13C
1.636534,1969,Arcticad13C
1.606466,1968,Arcticad13C
1.837,1967,Arcticad13C
1.9825,1966,Arcticad13C
1.9815,1965,Arcticad13C
1.98975,1964,Arcticad13C
1.832,1963,Arcticad13C
1.960667,1962,Arcticad13C
2.120957,1961,Arcticad13C
1.983667,1960,Arcticad13C
1.888,1959,Arcticad13C
1.985333,1958,Arcticad13C
1.66074,1957,Arcticad13C
1.90027,1956,Arcticad13C
2.049891,1955,Arcticad13C
2.065143,1954,Arcticad13C
1.95512,1953,Arcticad13C
1.9757,1952,Arcticad13C
1.822159,1951,Arcticad13C
1.842673,1950,Arcticad13C
1.834698,1949,Arcticad13C
1.871002,1948,Arcticad13C
1.808764,1947,Arcticad13C
1.835601,1946,Arcticad13C
1.821646,1945,Arcticad13C
1.53751,1944,Arcticad13C
1.71169,1943,Arcticad13C
1.647,1942,Arcticad13C
1.48008,1941,Arcticad13C
1.625923,1940,Arcticad13C
1.979553,1939,Arcticad13C
1.937341,1938,Arcticad13C
1.86717,1937,Arcticad13C
1.74016,1936,Arcticad13C
1.632857,1935,Arcticad13C
1.467166,1934,Arcticad13C
1.477392,1933,Arcticad13C
1.733387,1932,Arcticad13C
2.201,1931,Arcticad13C
1.913571,1930,Arcticad13C
1.910349,1929,Arcticad13C
1.855033,1928,Arcticad13C
1.876122,1927,Arcticad13C
1.505,1926,Arcticad13C
1.424,1925,Arcticad13C
1.489,1924,Arcticad13C
1.352,1923,Arcticad13C
1.247,1922,Arcticad13C
1.642,1921,Arcticad13C
1.6715,1920,Arcticad13C
1.676333,1919,Arcticad13C
1.884,1918,Arcticad13C
2.242,1917,Arcticad13C
1.7975,1916,Arcticad13C
2.004,1915,Arcticad13C
1.66,1914,Arcticad13C
1.617,1913,Arcticad13C
1.607,1912,Arcticad13C
1.4685,1911,Arcticad13C
1.4555,1910,Arcticad13C
1.503552,1909,Arcticad13C
1.75876,1908,Arcticad13C
1.766096,1907,Arcticad13C
2.263528,1906,Arcticad13C
2.109411,1905,Arcticad13C
1.965287,1904,Arcticad13C
1.955981,1903,Arcticad13C
2.088471,1902,Arcticad13C
2.147189,1901,Arcticad13C
1.840627,1900,Arcticad13C
2.190618,1899,Arcticad13C
2.396055,1898,Arcticad13C
2.318413,1897,Arcticad13C
2.126,1896,Arcticad13C
2.385191,1895,Arcticad13C
2.388549,1894,Arcticad13C
