ID,Site,Excavation,Context,Species,%C ,C,%N ,N,C/N ratio,Century,Dating,MiddleDate,Source
61433,BRV,12,3,haddock,48.4,-15.2,14.5,13.1,3.34,18,14C (1554±30),1795,https://www.nature.com/articles/s41598-021-92243-7
61596,BRV,12,5,cod,45.6,-13.6,15.7,12.2,3.4,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-8
61598,BRV,12,5,cod,36.3,-12.5,11.3,13.2,3.23,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-9
61599,BRV,12,5,cod,41.3,-12.6,13.7,13,3.51,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-10
61604,BRV,12,5,cod,45.5,-13,15.2,13,3.5,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-11
61606,BRV,12,5,cod,9.1,-16.3,2.6,14.4,3.51,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-12
61610,BRV,12,5,cod,47,-12.5,16.3,12.4,3.37,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-13
61611,BRV,12,5,cod,44.7,-12.4,15.5,13.6,3.37,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-14
61615,BRV,12,5,cod,33.7,-14.2,10.3,13.1,3.26,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-15
61618,BRV,12,5,cod,38.7,-14.4,12.2,13.3,3.18,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-16
61619,BRV,12,5,cod,41.2,-12.9,13.1,13.2,3.15,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-17
61620,BRV,12,5,cod,45.1,-14.5,15.4,12.5,3.44,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-18
61656,BRV,12,5,haddock,7.2,-17.8,3.1,14.2,2.31,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-19
61659,BRV,12,5,haddock,11.6,-17.8,3.7,15.7,3.18,16,14C (1554±30),1554,https://www.nature.com/articles/s41598-021-92243-20
62513,BRV,12,3,cod,42.5,-13,14.5,13.6,2.94,18,14C (1795±28),1795,https://www.nature.com/articles/s41598-021-92243-21
63827,BRV,12,3,cod,49.4,-10.9,17,13.2,3.41,18,14C (1795±28),1795,https://www.nature.com/articles/s41598-021-92243-22
63832,BRV,12,3,cod,43.9,-12.2,15.4,13.9,3.34,18,14C (1795±28),1795,https://www.nature.com/articles/s41598-021-92243-23
63845,BRV,12,3,cod,49.4,-10.7,17.4,13,3.32,18,14C (1795±28),1795,https://www.nature.com/articles/s41598-021-92243-24
63903,BRV,12,4,cod,46.1,-13.6,15.5,12.7,3.47,18,14C (1795±28),1795,https://www.nature.com/articles/s41598-021-92243-25
76430,BRV,15,7,cod,20.4,-14.8,7.8,13.7,3.07,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-26
76431,BRV,15,7,cod,20.6,-14.2,7.8,13.6,3.07,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-27
76435,BRV,15,7,cod,14.8,-15.7,5.6,13.7,3.07,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-28
76436,BRV,15,7,cod,12.9,-17.2,5,13.5,3.06,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-29
76439,BRV,15,7,cod,16.6,-17.2,6.4,13.1,3.05,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-30
77603,BRV,15,12,cod,14.6,-12.7,5,12.8,3.38,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-31
77604,BRV,15,14,cod,18.2,-11.8,6.5,13.3,3.27,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-32
77639,BRV,15,8,cod,15.7,-12.8,5.8,12.8,3.14,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-33
77640,BRV,15,16,cod,15.2,-11.7,5.8,12.5,3.07,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-34
77641,BRV,15,8,cod,15.1,-11.8,5.7,14.7,3.1,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-35
77642,BRV,15,17,cod,15.6,-13,5.8,12.6,3.12,14,Context (≤ 1410),1400,https://www.nature.com/articles/s41598-021-92243-36
77643,BRV,15,14,cod,21.3,-11.7,7.9,14.3,3.15,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-37
77644,BRV,15,8,cod,7.3,-14.5,2.7,13.8,3.18,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-38
77645,BRV,15,16,cod,10.9,-12.1,4,12.9,3.22,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-39
77646,BRV,15,16,cod,16.5,-12.7,6.1,13.3,3.16,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-40
77649,BRV,15,16,cod,14,-11.6,5.1,12.2,3.19,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-41
77650,BRV,15,14,cod,19.7,-12.2,7.2,14,3.2,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-42
77651,BRV,15,8,cod,11.1,-11.2,4,13.6,3.25,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-43
77652,BRV,15,16,cod,12.6,-10.7,4.6,13.4,3.18,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-44
77653,BRV,15,17,cod,18.4,-11.4,6.7,13.4,3.24,14,Context (≤ 1410),1400,https://www.nature.com/articles/s41598-021-92243-45
77654,BRV,15,14,cod,18.6,-12.8,6.7,13,3.25,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-46
77656,BRV,15,7,cod,10.2,-12.5,3.6,14.5,3.36,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-47
77659,BRV,15,8,cod,15.4,-15.3,5.5,14.5,3.29,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-48
77662,BRV,15,8,cod,9.3,-13.3,3.3,14,3.25,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-49
77663,BRV,15,14,cod,23.5,-12.2,8.7,13.6,3.18,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-50
77665,BRV,15,12,cod,17.6,-13.1,6.2,13.1,3.34,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-51
77666,BRV,15,17,cod,26.4,-12.6,10,12.5,3.1,14,Context (≤ 1410),1400,https://www.nature.com/articles/s41598-021-92243-52
78476,BRV,15,3,cod,13.6,-12.9,4.9,13.2,3.21,18,14C (1820±32),1890,https://www.nature.com/articles/s41598-021-92243-53
78477,BRV,15,7,cod,19.9,-11.7,7.4,13.3,3.16,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-54
78478,BRV,15,7,cod,7.1,-19.3,2.4,13.6,3.44,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-55
78479,BRV,15,8,cod,14.6,-14,5.3,12.5,3.24,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-56
78480,BRV,15,8,cod,14.7,-15.9,5.5,12.9,3.14,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-57
78481,BRV,15,8,cod,10.5,-17.6,4,13.2,3.07,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-58
78482,BRV,15,12,cod,19,-12.7,7,12.8,3.18,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-59
78483,BRV,15,16,cod,16.2,-12.6,6,13,3.16,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-60
79848,BRV,15,1,wolffish,33.4,-14.7,11.1,12.1,3.53,19,Context (>1890),1900,https://www.nature.com/articles/s41598-021-92243-61
79850,BRV,15,1,wolffish,32.9,-16.2,10,11.8,3.83,19,Context (>1890),1900,https://www.nature.com/articles/s41598-021-92243-62
79857,BRV,15,3,wolffish,30.7,-14.9,10.1,12.6,3.56,18,14C (1820±32),1820,https://www.nature.com/articles/s41598-021-92243-63
79858,BRV,15,3,wolffish,24.6,-13.8,8.6,12.3,3.35,18,14C (1820±32),1820,https://www.nature.com/articles/s41598-021-92243-64
79859,BRV,15,3,cod,22.7,-12.5,8.1,12.7,3.27,18,14C (1820±32),1820,https://www.nature.com/articles/s41598-021-92243-65
79860,BRV,15,3,cod,23.3,-12.4,8.5,12.5,3.21,18,14C (1820±32),1820,https://www.nature.com/articles/s41598-021-92243-66
79864,BRV,15,6,wolffish,32.2,-13.2,12.2,11.1,3.09,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-67
79865,BRV,15,6,cod,25.9,-12.4,9.8,12.6,3.11,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-68
79868,BRV,15,6,cod,20.6,-12.8,7.6,12.5,3.18,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-69
79869,BRV,15,6,cod,19.7,-13.2,7.1,13,3.25,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-70
79870,BRV,15,6,cod,30.9,-14.9,11.4,13.5,3.17,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-71
79871,BRV,15,6,cod,21.4,-13,7.9,12.9,3.17,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-72
79872,BRV,15,6,cod,18.3,-13.2,6.6,13,3.23,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-73
79873,BRV,15,6,cod,29.6,-14.6,11.1,13.6,3.12,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-74
79874,BRV,15,6,cod,21.4,-12.7,8,12.8,3.12,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-75
79875,BRV,15,6,cod,20.2,-12.3,7.4,14,3.17,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-76
79876,BRV,15,6,cod,11.1,-13.3,3.9,12.9,3.29,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-77
79877,BRV,15,6,cod,19.5,-12.9,7.4,13,3.07,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-78
79878,BRV,15,8,haddock,23.8,-11.3,8.9,13.6,3.11,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-79
