,Marine Fish  ,Terrestrial Mammals  ,simple refs,citation,originial References,date,Site Location,Site Category,Marine Fish NISP,Terrestrial Mammals NISP,Century,Spread
Granastaðir (9th-10th c) I,13.89,86.11,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",n/a,9th-10th c,Inland,Farm,213,1321,9c,0.5
Hrisheimar (9th-10th c) I,4.47,95.53,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",McGovern et al 2006,9th-10th c,Inland,Farm,797,17045,9c,0.5
Skutustaðir (9th-10th c) I,6.17,93.83,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",Hicks forthcoming ,9th-10th c,Inland,Farm,302,4595,9c,0.5
Granastaðir (9th-10th c) I,13.89,86.11,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",n/a,9th-10th c,Inland,Farm,213,1321,10c,0.5
Hofstaðir (10th-11th c) I,18.43,81.57,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",McGovern et al 2009,10th-11th c,Inland,Farm,10562,46742,10c,0.5
Hrisheimar (9th-10th c) I,4.47,95.53,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",McGovern et al 2006,9th-10th c,Inland,Farm,797,17045,10c,0.5
Oddstaðir II (10th-11th c) I,40.79,59.21,Harrison 2013,"Harrison, R. (2013) World Systems and Human Ecodynamics in Medieval Eyjafjörður, N Iceland: Gásir and its Hinterlands. PhD thesis. Department of Anthropology, City University of New York - Graduate Centre, US. Publisher: ProQuest LLC (2013). Ann Arbor, Michigan. ",Harrison 2013,10th-11th c,Inland,Farm,308,447,10c,0.5
Siglunes B  (10th-13th c) C,82.81,17.19,Harrison 2014,"Harrison, R. 2014. The Siglunes 2011/12 Archaeofauna. Interim Report on the Fishing Station’s Sampled Faunal Remains. NORSEC/HERC Zooarchaeology Laboratory Report No. 62.",Harrison 2014,10th-13th c,Coastal,Fishing Station,236,49,10c,0.25
Skuggi II (m10th-e11th c) I,0.78,99.22,Harrison & Roberts 2022,"Harrison, R. & H. M. Roberts. 2022. Skuggi Landnám Farm and Site Economy in Transition: An Assessment of the Structure A and Household Midden Remains from the Viking Age to the Medieval Period. Mooney, D.E., L. Gudmundsdottir, B. Dahl, H. M. Roberts, and M. Ramstad (eds.), Expanding Horizons: Settlement Patterns and Outfield Land Use in the Norse North Atlantic, UBAS – University of Bergen Archaeological Series 13, 65-84",Harrison & Roberts 2022,Mid10th-Early 11th c,Inland,Farm,9,1142,10c,0.5
Skutustaðir (9th-10th c) I,6.17,93.83,Hambrecht et al 2022,"Hambrecht, George, Frank Feeley, Konrad Smiarowski, Megan Hicks, Ramona Harrison, Seth Brewington, Grace Cesario, and Kevin Gibbons. “A Millennium of Icelandic Archaeological Fish Data Examined against Marine Climate Records.” Quaternary Research 108 (2022): 64–80. https://doi.org/10.1017/qua.2019.35.",Hicks forthcoming ,9th-10th c,Inland,Farm,302,4595,10c,0.5
