"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","ASV_1","High","1497510","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"2","ASV_2","Low","293199","Eukaryota","","Chrysophyceae","","","","Spumella-like flagellate JBM/S12"
"3","ASV_3","Low","943208","Eukaryota","Cercozoa","","","","Reticulamoeba","Reticulamoeba sp. COHH 96"
"4","ASV_4","High","34036","Bacteria","Campylobacterota","","","","","unidentified epsilon proteobacterium"
"5","ASV_5","Low","46767","Eukaryota","","Bigyra","Opalinata","Blastocystidae","Blastocystis","Blastocystis sp."
"6","ASV_6","Low","2026786","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","","","Rhodospirillales bacterium"
"7","ASV_7","None","None",NA,NA,NA,NA,NA,NA,NA
"8","ASV_8","None","None",NA,NA,NA,NA,NA,NA,NA
"9","ASV_9","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"10","ASV_10","None","None",NA,NA,NA,NA,NA,NA,NA
"11","ASV_11","None","None",NA,NA,NA,NA,NA,NA,NA
"12","ASV_12","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae",NA,NA
"13","ASV_13","Low","2651983","Eukaryota","Arthropoda","Hexanauplia","Harpacticoida","Aegisthidae","Cerviniopsis","Cerviniopsis sp. K162DZMB"
"14","ASV_14","Low","1982032","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium","Oblongichytrium sp."
"15","ASV_15","High","1773489","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Magnetovibrionaceae","Varunaivibrio","Varunaivibrio sulfuroxidans"
"16","ASV_16","High-MH","None","Bacteria","Pseudomonadota",NA,NA,NA,NA,NA
"17","ASV_17","Low","947086","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Cephaloidophoridae","Cephaloidophora","Cephaloidophora cf. communis"
"18","ASV_18","Low","2059681","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Auritella","Auritella spiculosa"
"19","ASV_19","High-MH","None","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales",NA,NA,NA
