"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","ASV_1","High","1497510","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"2","ASV_2","Low","293199","Eukaryota","","Chrysophyceae","","","","Spumella-like flagellate JBM/S12"
"3","ASV_3","Low","46767","Eukaryota","","Bigyra","Opalinata","Blastocystidae","Blastocystis","Blastocystis sp."
"4","ASV_4","Low","943208","Eukaryota","Cercozoa","","","","Reticulamoeba","Reticulamoeba sp. COHH 96"
"5","ASV_5","High","34036","Bacteria","Campylobacterota","","","","","unidentified epsilon proteobacterium"
"6","ASV_6","None","None",NA,NA,NA,NA,NA,NA,NA
"7","ASV_7","Low","947086","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Cephaloidophoridae","Cephaloidophora","Cephaloidophora cf. communis"
"8","ASV_8","High-MH","None","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"9","ASV_9","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae",NA,NA
"10","ASV_10","Low","2026786","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","","","Rhodospirillales bacterium"
"11","ASV_11","None","None",NA,NA,NA,NA,NA,NA,NA
"12","ASV_12","Low","1982032","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium","Oblongichytrium sp."
"13","ASV_13","Low","2795293","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfolithobacter","Desulfolithobacter dissulfuricans"
"14","ASV_14","None","None",NA,NA,NA,NA,NA,NA,NA
"15","ASV_15","Low","2805731","Eukaryota","","","","","","Stramenopiles sp. MAST-9A-sp1"
"16","ASV_16","High","105987","Eukaryota","Basidiomycota","Microbotryomycetes","Kriegeriales","Camptobasidiaceae","Glaciozyma","Glaciozyma antarctica"
"17","ASV_17","None","None",NA,NA,NA,NA,NA,NA,NA
"18","ASV_18","Low","2026739","Archaea","Euryarchaeota","","","","","Euryarchaeota archaeon"
"19","ASV_19","None","None",NA,NA,NA,NA,NA,NA,NA
