"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","ASV_1","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"2","ASV_2","High","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"3","ASV_3","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae",NA,NA
"4","ASV_4","High","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"5","ASV_5","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus",NA
"6","ASV_6","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"7","ASV_7","High","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"8","ASV_8","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"9","ASV_9","High","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"10","ASV_10","High","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"11","ASV_11","High","27610","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris"
"12","ASV_12","High","9770","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus"
"13","ASV_13","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"14","ASV_14","High","9773","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"15","ASV_15","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"16","ASV_16","Low","138695","Eukaryota","Chordata","Mammalia","Chiroptera","Phyllostomidae","Carollia","Carollia brevicauda"
"17","ASV_17","Low","39090","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
"18","ASV_18","Low","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"19","ASV_19","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"20","ASV_21","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"21","ASV_24","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"22","ASV_25","Low","40151","Eukaryota","Chordata","Mammalia","Artiodactyla","Monodontidae","Monodon","Monodon monoceros"
"23","ASV_26","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
