Category,Label
Bacillariophyta,protist
Chrysophyceae,protist
Unknown,other
Other Endomyxan,protist
MAST-4,protist
Apicomplexa,protist
Mamiellophyceae,protist
Metazoa,metazoa
Bacteria,bacteria
Basidiomycota,other
Mesomycetozoa,protist
Tubulinea,protist
MAST-1,protist
Cryptomycota,other
MALV-II,protist
Labyrinthulea,protist
Dictyochophyceae,protist
Dinophyceae,protist
Ascomycota,other
Oomycota,other
Phytomyxea,protist
Other Filosan,protist
Cryomonadida,protist
Bolidophyceae,protist
Acantharea,protist
MAST-3,protist
MALV-I,protist
Ebriida,protist
Haptophyta,protist
Dactylopodida,protist
Chytridiomycota,other
Pirsonia_lineage,protist
Streptophyta,other
Ciliophora,protist
Phaeophyceae,protist
apusozoan_*,protist
Collodaria,protist
Other MAST,protist
Pyramimonadales,protist
Archaea,other
MOCH-3,protist
Prasinophyceae_Clade_7,protist
Bicoecea,protist
RAD-B_(Sticholonche_&_relatives),protist
Chlorophyceae,protist
other_myzozoan_*,protist
Spumellaria,protist
MALV-IV,protist
"""MOCH-1,_2",protist
Choanoflagellatea,protist
other_Ochrophyta_*,protist
RAD-C,protist
Cristidiscoidea,protist
other_lower_Fungi_*,other
Other Lobosa,protist
Nassellaria_&_Eucyrtidium_*,protist
Variosea,protist
Rhodophyta,protist
Perkinsea,protist
RAD-A,protist
Picomonadida,protist
Kinetoplastida,protist
Diplonemida,protist
Foraminifera,protist
other_prasinophytes,protist
Cryptophyta,protist
Trebouxiophyceae,protist
chrompodellids_*,protist
other_eukaryotes_*,other
Telonemida,protist
Fornicata,protist
Ascetosporea,protist
Raphidophyceae,protist
Ulvophyceae,protist
other_Discoba,protist
Katablepharidida,protist
Chlorarachnea,protist
MALV-V,protist
Pelagophyceae,protist
Phaeodaria,protist
Microsporidiomycota,other
cryptophyte_nucleomorphs,protist
other_heterotrophic_stramenopiles_*,protist
Centrohelida,protist
Mycamoebida,protist
"""MAST-16,_22,_24",protist
Glomeromycota,other
MOCH-4,protist
MALV-III,protist
Heterolobosea,protist
Macromycetozoa,protist
Euglenida,protist
